player_id,player_name,team,season,proj_target_share_next,proj_carry_share_next,targets,rush_att,team_targets,team_carries
00-0028237,C.Hogan,NYJ,2020,0.1838103756708408,0.0,3.0,0.0,31.0,28.0
00-0028237,C.Hogan,NO,2021,0.0899267399267399,0.0,1.0,0.0,28.0,23.0
00-0028292,N.Bellore,SEA,2019,0.03125,0.0,1.0,0.0,29.0,20.0
00-0028292,N.Bellore,SEA,2020,0.0277777777777777,0.0357142857142857,1.0,1.0,36.0,28.0
00-0028292,N.Bellore,SEA,2021,0.0357142857142857,0.0,1.0,0.0,28.0,29.0
00-0028292,N.Bellore,SEA,2022,0.0,0.0277777777777777,0.0,1.0,28.0,36.0
00-0028411,D.Inman,IND,2019,0.1358585858585858,0.0,3.0,0.0,24.0,27.0
00-0028411,D.Inman,WAS,2020,0.0914502164502164,0.0,1.0,0.0,24.0,36.0
00-0028581,P.DiMarco,BUF,2019,0.0331885856079404,0.0166666666666666,1.0,0.0,43.0,30.0
00-0028664,C.Jones,DAL,2020,0.0,0.0,0.0,1.0,38.0,35.0
00-0028872,J.Hekker,LA,2019,0.0,0.0,0.0,0.0,51.0,14.0
00-0028872,J.Hekker,LA,2021,0.0,0.0344827586206896,0.0,0.0,42.0,10.0
00-0028872,J.Hekker,CAR,2023,0.0,0.0,0.0,1.0,32.0,39.0
00-0028872,J.Hekker,CAR,2024,0.0,0.0,0.0,0.0,35.0,20.0
00-0028899,R.McLeod,CLE,2024,0.0,0.0,0.0,0.0,23.0,25.0
00-0028986,C.Keenum,WAS,2019,0.0,0.0267094017094017,0.0,0.0,35.0,20.0
00-0028986,C.Keenum,CLE,2020,0.0,0.0,0.0,0.0,26.0,22.0
00-0028986,C.Keenum,CLE,2021,0.0,0.0404040404040404,0.0,5.0,24.0,41.0
00-0028986,C.Keenum,BUF,2022,0.0,0.125,0.0,2.0,36.0,18.0
00-0028986,C.Keenum,HOU,2023,0.0,0.0625,0.0,0.0,48.0,16.0
00-0029000,C.Beasley,BUF,2019,0.3002425502425502,0.0,5.0,0.0,43.0,30.0
00-0029000,C.Beasley,BUF,2020,0.1315347191508182,0.0,9.0,0.0,44.0,18.0
00-0029000,C.Beasley,BUF,2021,0.1337037037037036,0.0,8.0,0.0,37.0,24.0
00-0029000,C.Beasley,BUF,2022,0.0671503082029397,0.0,4.0,0.0,40.0,19.0
00-0029119,D.Carrier,LV,2019,0.0691852401159038,0.0,1.0,0.0,41.0,22.0
00-0029119,D.Carrier,LV,2020,0.0344827586206896,0.0,1.0,0.0,29.0,26.0
00-0029119,D.Carrier,LV,2021,0.054054054054054,0.0,2.0,0.0,37.0,25.0
00-0029137,A.Jeffery,PHI,2019,0.2702279202279202,0.0,2.0,0.0,50.0,32.0
00-0029137,A.Jeffery,PHI,2020,0.0511538461538461,0.0,1.0,0.0,34.0,29.0
00-0029141,A.Morris,ARI,2019,0.0,0.0434782608695652,0.0,1.0,23.0,23.0
00-0029141,A.Morris,NYG,2020,0.008130081300813,0.2532679738562091,1.0,5.0,25.0,28.0
00-0029164,M.Remmers,KC,2021,0.0294117647058823,0.0,1.0,0.0,34.0,23.0
00-0029239,B.Bolden,NE,2019,0.0421626984126984,0.0221496005809731,0.0,1.0,35.0,22.0
00-0029239,B.Bolden,NE,2021,0.1062886933854675,0.1203703703703703,6.0,0.0,35.0,20.0
00-0029239,B.Bolden,LV,2022,0.009009009009009,0.0350877192982456,0.0,8.0,32.0,32.0
00-0029239,B.Bolden,LV,2023,0.0,0.0384615384615384,0.0,2.0,46.0,25.0
00-0029263,R.Wilson,SEA,2019,0.0,0.2376068376068375,0.0,7.0,28.0,24.0
